City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
2,Katobu,ID,73.96,heavy intensity rain,-4.9408,122.5276,La Ode Husein
8,Kapaa,US,84.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Lander,US,78.12,few clouds,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
15,Rikitea,PF,72.28,broken clouds,-23.1203,-134.9692,People ThankYou
17,Nizwa,OM,83.64,clear sky,22.9333,57.5333,Orient Apartments
18,Mathbaria,BD,78.69,heavy intensity rain,22.2876,89.9593,Shikdar Hotel
23,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
26,Bethel,US,83.55,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
27,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,Le four à pain
35,Khash,IR,73.99,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
37,Lorengau,PG,81.21,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
39,Keti Bandar,PK,80.69,clear sky,24.1447,67.4497,Haji laloo memon house
42,Mazamari,PE,85.82,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
45,Damaturu,NG,76.82,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
48,Ponta Do Sol,PT,74.71,light rain,32.6667,-17.1,Hotel do Campo
52,Newton,US,83.75,scattered clouds,42.337,-71.2092,Sheraton Boston Needham Hotel
55,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,Lompoc,US,77.94,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
57,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
59,Kharagauli,GE,74.16,clear sky,42.0214,43.1977,twincity
60,Victoria,HK,81.32,broken clouds,22.2855,114.1577,Mini Central
70,Jesus Carranza,MX,80.06,overcast clouds,17.4333,-95.0333,Cuarto atras de una iglesia
72,Suleja,NG,74.39,light rain,9.1758,7.1808,Capy Motel
76,Avarua,CK,80.65,clear sky,-21.2078,-159.775,Paradise Inn
86,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
88,Yangjiang,CN,79.29,broken clouds,21.85,111.9667,HUALUXE Yangjiang City Center
91,Coahuayana,MX,76.86,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
94,Da Nang,VN,75.18,few clouds,16.0678,108.2208,Grand Mercure Danang
97,Broome,US,78.71,overcast clouds,42.2506,-75.833,Chenango Valley State Park
99,Puri,IN,77.52,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
105,Marivan,IR,71.01,clear sky,35.5219,46.176,Teacher's House
108,Warwick,US,81.82,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
115,Kavaratti,IN,80.44,overcast clouds,10.5669,72.642,Green leaf
117,Sarangani,PH,83.25,broken clouds,5.4033,125.4636,JVL Inn and Cafeteria
121,Manono,CD,72.43,overcast clouds,-7.3,27.4167,Hotel hewa bora
122,Hasaki,JP,79.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
124,Tual,ID,81.9,broken clouds,-5.6667,132.75,Grand Vilia Hotel
125,Massakory,TD,80.33,broken clouds,12.996,15.7293,Chabakari - Am Doukhan
126,San Cristobal,VE,84.38,few clouds,7.7669,-72.225,Pirineos
127,Shingu,JP,79.5,overcast clouds,33.7333,135.9833,Shingu UI Hotel
133,Jamestown,US,75.94,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
134,Gushikawa,JP,80.19,mist,26.3544,127.8686,Kirari Guest House
135,Balabac,PH,80.62,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
145,Angoche,MZ,74.66,clear sky,-16.2325,39.9086,Guest House HESADA
146,Belmonte,BR,71.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
147,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
148,Morgan City,US,88.0,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
149,Kulhudhuffushi,MV,80.64,overcast clouds,6.6221,73.07,Haajy Guest House 1
150,Sao Filipe,CV,78.55,few clouds,14.8961,-24.4956,Hotel Xaguate
153,Marsaxlokk,MT,76.08,clear sky,35.8419,14.5431,Water's Edge
155,Balykshi,KZ,73.4,clear sky,47.0667,51.8667,Гостиница Golden Rose
156,Bonthe,SL,75.18,light rain,7.5264,-12.505,Bonthe Holiday Village
158,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
160,Hilo,US,82.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
165,Muros,ES,74.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
166,Bengkulu,ID,74.37,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
172,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
173,Los Llanos De Aridane,ES,71.35,overcast clouds,28.6585,-17.9182,Valle Aridane
174,Unguia,CO,87.82,scattered clouds,8.0434,-77.0945,Residencias El Golfo
179,Dhidhdhoo,MV,80.94,overcast clouds,6.8833,73.1,Dhidhoo beach
180,Kahului,US,84.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
185,Atuona,PF,76.64,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
189,Novonikolayevskiy,RU,71.78,overcast clouds,50.9738,42.3649,Gostinitsa
191,Bilma,NE,87.4,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
200,Mabaruma,GY,82.42,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
201,Mogadishu,SO,76.95,overcast clouds,2.0371,45.3438,Hotel Juba
203,Kawalu,ID,71.4,overcast clouds,-7.3817,108.2082,West Jontor
204,Luxor,EG,82.45,clear sky,25.6989,32.6421,Iberotel Luxor
206,Celestun,MX,87.12,clear sky,20.8667,-90.4,Posada Lilia
207,Touros,BR,77.36,few clouds,-5.1989,-35.4608,INN NEW HORIZON
208,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
211,Padang,ID,76.51,light rain,-0.9492,100.3543,Mercure Padang
