City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,48.31,43,0,8.05,clear sky
1,Souillac,MU,-20.5167,57.5167,71.98,78,40,12.66,scattered clouds
2,Katobu,ID,-4.9408,122.5276,73.96,92,100,2.75,heavy intensity rain
3,Kaabong,UG,3.4836,34.1492,68.32,51,98,7.85,overcast clouds
4,Albany,US,42.6001,-73.9662,77.59,82,94,9.19,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,47.71,78,100,1.99,overcast clouds
6,Carnarvon,AU,-24.8667,113.6333,64.38,59,0,19.37,clear sky
7,Hobart,AU,-42.8794,147.3294,48.06,85,75,5.75,broken clouds
8,Kapaa,US,22.0752,-159.319,84.11,76,55,8.99,broken clouds
9,Busselton,AU,-33.65,115.3333,52.23,84,98,8.88,overcast clouds
10,Norman Wells,CA,65.282,-126.8329,55.44,50,75,9.22,broken clouds
11,Ushuaia,AR,-54.8,-68.3,44.26,65,0,13.8,clear sky
12,Bredasdorp,ZA,-34.5322,20.0403,48.51,88,46,3.06,light rain
13,Lander,US,42.833,-108.7307,78.12,48,11,12.28,few clouds
14,Ambilobe,MG,-13.2,49.05,68.29,71,0,6.13,clear sky
15,Rikitea,PF,-23.1203,-134.9692,72.28,68,51,16.58,broken clouds
16,San Juan,AR,-31.5375,-68.5364,63.48,40,14,24.4,few clouds
17,Nizwa,OM,22.9333,57.5333,83.64,47,0,2.66,clear sky
18,Mathbaria,BD,22.2876,89.9593,78.69,91,97,10.92,heavy intensity rain
19,Saskylakh,RU,71.9167,114.0833,32.22,98,100,6.55,light snow
20,Bluff,NZ,-46.6,168.3333,46.8,70,100,10.51,light rain
21,Hofn,IS,64.2539,-15.2082,45.93,73,8,3.2,clear sky
22,Port Hardy,CA,50.6996,-127.4199,53.6,87,40,3.44,fog
23,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,9.22,scattered clouds
24,Geraldton,AU,-28.7667,114.6,61.21,72,75,24.16,broken clouds
25,Vardo,NO,70.3705,31.1107,46.38,93,75,14.97,broken clouds
26,Bethel,US,41.3712,-73.414,83.55,64,78,5.01,broken clouds
27,Butaritari,KI,3.0707,172.7902,80.85,78,9,13.71,light rain
28,Henties Bay,NA,-22.116,14.2845,54.81,87,16,17.94,few clouds
29,Arlit,NE,18.7369,7.3853,96.04,24,100,6.6,overcast clouds
30,Husavik,IS,66.0449,-17.3389,48.92,71,20,6.96,few clouds
31,Cape Town,ZA,-33.9258,18.4232,56.26,69,20,12.66,light rain
32,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,54,12.68,light rain
33,Esperance,AU,-33.8667,121.9,51.4,90,49,5.35,scattered clouds
34,Ust-Nera,RU,64.5667,143.2,38.07,65,100,4.23,overcast clouds
35,Khash,IR,28.2211,61.2158,73.99,19,0,2.06,clear sky
36,Port Alfred,ZA,-33.5906,26.891,57.18,96,100,3.0,light rain
37,Lorengau,PG,-2.0226,147.2712,81.21,76,49,4.18,scattered clouds
38,Saint-Augustin,CA,51.226,-58.6502,47.19,64,100,18.84,overcast clouds
39,Keti Bandar,PK,24.1447,67.4497,80.69,77,0,7.2,clear sky
40,Kodiak,US,57.79,-152.4072,54.0,78,100,4.5,overcast clouds
41,Aykhal,RU,66.0,111.5,27.64,97,100,6.29,light snow
42,Mazamari,PE,-11.3258,-74.5308,85.82,50,92,1.41,overcast clouds
43,Gardez,AF,33.5974,69.2259,61.11,28,0,2.42,clear sky
44,Yuzhnyy,RU,53.2542,83.6936,43.18,56,0,6.71,clear sky
45,Damaturu,NG,11.747,11.9608,76.82,80,100,6.49,overcast clouds
46,Okulovka,RU,58.4008,33.2908,48.72,84,100,5.21,overcast clouds
47,Sunndalsora,NO,62.6754,8.5515,46.45,99,100,4.54,overcast clouds
48,Ponta Do Sol,PT,32.6667,-17.1,74.71,97,73,4.59,light rain
49,Bara,NG,10.3744,10.7288,74.48,90,100,3.65,moderate rain
50,Ilulissat,GL,69.2167,-51.1,37.06,96,100,2.57,overcast clouds
51,Mehamn,NO,71.0357,27.8492,46.31,100,75,11.5,light rain
52,Newton,US,42.337,-71.2092,83.75,57,40,13.8,scattered clouds
53,Port Elizabeth,ZA,-33.918,25.5701,54.32,94,20,12.66,moderate rain
54,Berlevag,NO,70.8578,29.0864,46.35,93,75,16.11,broken clouds
55,Mahebourg,MU,-20.4081,57.7,71.89,78,40,12.66,scattered clouds
56,Lompoc,US,34.6391,-120.4579,77.94,54,40,17.27,scattered clouds
57,Vaini,TO,-21.2,-175.2,75.36,83,40,9.22,scattered clouds
58,Berdigestyakh,RU,62.0989,126.6992,31.48,93,100,7.58,light snow
59,Kharagauli,GE,42.0214,43.1977,74.16,51,3,7.78,clear sky
60,Victoria,HK,22.2855,114.1577,81.32,85,64,5.01,broken clouds
61,Mar Del Plata,AR,-38.0023,-57.5575,58.08,97,100,13.0,fog
62,Aberdeen,GB,57.1437,-2.0981,46.49,87,97,2.3,overcast clouds
63,Avera,US,33.194,-82.5271,87.31,55,100,0.31,overcast clouds
64,Cidreira,BR,-30.1811,-50.2056,62.85,76,34,23.24,scattered clouds
65,Nizhneangarsk,RU,55.7833,109.55,36.55,51,78,1.77,broken clouds
66,Chuy,UY,-33.6971,-53.4616,59.56,79,100,10.74,light rain
67,Barrow,US,71.2906,-156.7887,38.84,86,100,15.37,overcast clouds
68,Talnakh,RU,69.4865,88.3972,45.21,100,100,1.95,light rain
69,Pervouralsk,RU,56.9053,59.9436,53.26,97,99,3.09,overcast clouds
70,Jesus Carranza,MX,17.4333,-95.0333,80.06,91,99,6.35,overcast clouds
71,Kamenka,RU,51.3223,42.7678,70.45,62,92,14.58,overcast clouds
72,Suleja,NG,9.1758,7.1808,74.39,95,100,2.39,light rain
73,Thompson,CA,55.7435,-97.8558,55.56,94,100,0.0,mist
74,Tiznit,MA,29.5833,-9.5,65.71,76,0,4.54,clear sky
75,Tasiilaq,GL,65.6145,-37.6368,41.76,95,100,20.54,heavy intensity rain
76,Avarua,CK,-21.2078,-159.775,80.65,74,7,4.61,clear sky
77,Mezen,RU,65.8522,44.24,48.15,97,100,7.02,overcast clouds
78,Sambava,MG,-14.2667,50.1667,68.09,88,7,10.33,light rain
79,Mataura,NZ,-46.1927,168.8643,46.47,69,100,2.55,light rain
80,Yellowknife,CA,62.456,-114.3525,50.52,76,75,9.22,broken clouds
